sample	half	quarter
SAMN15567939	half_2	quarter_4
SAMN15934604	half_2	quarter_3
SAMN17576496	half_1	quarter_1
SAMN17576519	half_1	quarter_1
SAMN17576774	half_2	quarter_3
SAMN17577006	half_2	quarter_4
SAMN17577175	half_2	quarter_3
SAMN17579744	half_2	quarter_3
SAMN17579815	half_1	quarter_1
SAMN17579817	half_1	quarter_1
SAMN17584518	half_1	quarter_1
SAMN17584698	half_2	quarter_3
SAMN17983074	half_1	quarter_1
SAMN18348635	half_2	quarter_3
SAMN18348637	half_1	quarter_1
SAMN20442215	half_2	quarter_4
SAMN20966738	half_1	quarter_1
SAMN21569001	half_1	quarter_2
SAMN21848784	half_1	quarter_1
SAMN21848785	half_2	quarter_4
SAMN26351423	half_2	quarter_4
SAMN26351617	half_2	quarter_4
SAMN26733069	half_2	quarter_3
SAMN28534416	half_1	quarter_1
SAMN30355791	half_1	quarter_1
SAMN30676394	half_1	quarter_1
SAMN31722819	half_2	quarter_4
SAMN31722881	half_1	quarter_2
SAMN31722896	half_1	quarter_1
SAMN31722973	half_2	quarter_4
SAMN32360886	half_1	quarter_2
SAMN32360940	half_1	quarter_1
SAMN33009622	half_2	quarter_3
SAMN33358663	half_2	quarter_4
SAMN36633086	half_1	quarter_1
SAMN38106006	half_2	quarter_4
SAMN38106008	half_1	quarter_2
SAMN38106063	half_2	quarter_4
SAMN38106074	half_2	quarter_3
SAMN38106092	half_2	quarter_4
SAMN38106093	half_1	quarter_1
SAMN38106105	half_2	quarter_4
SAMN38106113	half_2	quarter_4
SAMN38106115	half_1	quarter_2
SAMN38106122	half_1	quarter_1
SAMN38106162	half_2	quarter_4
SAMN38106172	half_2	quarter_4
SAMN38106211	half_1	quarter_1
SAMN38106230	half_1	quarter_1
SAMN38224289	half_2	quarter_4
SAMN38410567	half_1	quarter_2
SAMN38410568	half_2	quarter_3
SAMN38410580	half_1	quarter_2
SAMN38410581	half_2	quarter_4
